smiles,lipo
NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCCN4CCOCC4)c5ccc(Cl)cc5,2.7
COc1cc(ccc1Nc2nccc(n2)c3cnc4ccccn34)N5CCN(CC5)C(=O)C,3
Cc1onc(c2ccccc2)c1c3ccc(cc3)S(=O)(=O)N,2.37
O=C1NC(=O)C(Cc2cccc(Oc3ccccc3)c2)S1,2.84
CCCc1c(cnn1c2ccccc2)C(=O)Nc3ccc(F)cc3C,3.89
OCCNC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,3.05
Cc1ccc(cc1NC(=O)c2ccc(OCc3ccccn3)cc2)c4nc5ccccc5[nH]4,3.24
O[C@@H](CNCCOc1cccc(CNCCc2ccccc2F)c1)c3ccc(O)c4NC(=O)Sc34,1.86
Clc1ccc2OCOc2c1Nc3ncnc4cc(OCCCN5CCCC5)cc(OC6CCOCC6)c34,2.3
O=C(NCC#N)[C@@H]1CCCC[C@H]1C(=O)N2CCN(CC2)c3ccccc3,1.75
CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(C(=O)O)c(Oc4ccc(Cl)c(Cl)c4)c3)C(=O)NC1=O,-0.87
CC(C)C(NC(=O)CN1C(=O)C2=C(C=C1c3ccccc3)C(=O)N(CCN4CCOCC4)C(=O)N2)C(=O)C(F)(F)F,1.91
Clc1cccc(c1)S(=O)(=O)NCC(N2CCCCCC2)c3ccccc3,3.39
C[C@H](Oc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,2.86
CO[C@@H]1CC[C@@]2(CC1)Cc3ccc(cc3C24N=C(C)C(=N4)N)c5cc(Cl)cc(c5)C#N,3.8
Cn1cnc2c(c3ccc(cc3)C4(N)CCC4)c(ccc12)c5ccccc5,2.5
CC(C)NC(=O)c1cc2c(c(cnc2[nH]1)c3cncc(c3)C(=O)O)n4ccc(n4)C(F)(F)F,-0.62
Cc1[nH]c(C(=O)NC2CCN(CC2)c3ncc(s3)C(=O)O)c(Cl)c1Cl,0.02
COc1cc(OC2CCNCC2)ccc1Nc3ncc(Cl)c(n3)c4cnc5ccccn45,1.8
CC(C)CCOc1ccc(N)cc1,2.67
CC(C)c1ccc(Sc2cnc(O)c(c2)C(=O)NCc3ccccc3)cc1,3.7
Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3ccnc4c(C)cccc34,1.29
Fc1ccccc1Nc2oc(nn2)C(=O)Nc3ccc(Oc4cccnc4)nc3,3.1
CN(C)CCCOc1nn(Cc2ccccc2)c3ccccc13,2.4
Cc1ccc(cc1)c2nnc(N3CCN(CC3)C(=O)c4occc4)c5ccccc25,3.78
CC(=O)Nc1ccc(CNc2[nH]nc3cccc(Oc4ccc(cc4)S(=O)(=O)C)c23)cc1,2.63
CCS(=O)(=O)c1ccc(c(C)c1)c2cc(ccc2CCC(=O)O)C(F)(F)F,0.76
COc1ccc(OC)c(CNc2n[nH]c3ccnc(Oc4ccccc4)c23)c1,4.25
CC(C)Cc1ccc(cc1)[C@H](C)C(=O)NS(=O)(=O)C,0.56
COCCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,2.95
COc1cc(OC)c(cc1NC(=O)NCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23,-1.02
NC(=O)Nc1cc(sc1C(=O)N)c2ccsc2,2.3
COc1cc(F)ccc1c2cncc(CNCC3CC3)n2,1.8
CCCNC(=O)c1cc2c(c(cnc2[nH]1)c3cncc(c3)C(=O)O)n4ccc(n4)C(F)(F)F,-0.79
COc1cc(OC2CCN(C)CC2)c3c(Nc4cccc5OCCOc45)ncnc3c1,2.26
FC(F)(F)Oc1ccccc1S(=O)(=O)NCC(N2CCCCCC2)c3ccccc3,4.09
CC(C)COc1cc(ccc1NC(=O)CN2CCOCC2)c3cccc4C(=O)C=C(Oc34)N5CCOCC5,3.8
CN1CCOc2cc(OC(=O)c3ccccc3)cnc12,3.3
Nc1sc2CCCCc2c1C(=O)NCc3ccccc3,3.52
CN1CCC(CC1)Oc2cccc3ncnc(Nc4ccc(OCc5cnccn5)c(Cl)c4)c23,3.21
CC(C)CNc1nc(nc(N2CCN(CC2)C(=O)C)c1N)C#N,2.4
CC(C)COCC(CN(Cc1ccccc1)c2ccccc2)N3CCCC3,3.66
CC1=CC2=NNC(=O)N2c3cc(ccc13)c4cccc(CO)c4,3.36
O[C@H](C[C@H](O)\C=C\c1c(nc2ccccc2c1c3ccc(F)cc3)C4CC4)CC(=O)O,0.91
Nc1cccc2c3ccccc3C(=O)C(=O)c12,2.95
CC(C)(C)OC(=O)N1CCN(CC1)c2ncc(OCc3ccncc3S(=O)(=O)C)cn2,2.4
C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc2ccc(C#N)c(c2)C(F)(F)F,2.87
CNc1cccc(CCCc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2)n1,0.57
O=C(NCc1ccncc1)c2ccc(Oc3ccccc3)cc2,3.26
OC(=O)COc1ccc(Cl)cc1CN2CCN(CC2)S(=O)(=O)Cc3ccccc3,0.33
C[C@@H](NC(=O)C1CCNCC1)c2ccc(Nc3ncc4cc(ccc4n3)c5ccncc5)cc2,0.4
CN(C)C[C@H](O)Cc1ccc(Cl)c(c1)C(=O)NCC23CC4CC(CC(C4)C2)C3,2.19
Oc1ccnc2ccccc12,0.8
CN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1,4.31
COc1cc(Nc2cc(Oc3ccc(C)nc3)ccn2)cc(OC)c1OC,3.21
CC1=NC(C)(N=C1N)c2cccc(c2)c3cccnc3,1.7
COc1cc(F)ccc1c2cc(CNC3CCCC3)ccn2,1.71
NC(=N)Nc1oc2ccccc2n1,1.91
Cc1nc2nc(NC(=O)c3ccc(F)cc3)nn2c(O)c1Cc4ccccc4,2.2
CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4,3.47
CN(C)CCCOc1nccc(Nc2cc(NC(=O)c3ccnc(c3)N4CCOCC4)ccc2C)n1,1.3
NNC(=O)c1ccncc1,-0.57
CCS(=O)(=O)c1ccc(cc1)c2cc(Cl)ccc2OCC(=O)O,-0.78
Cn1cc(cc1c2c3C(=O)N(CC#C)C(=O)N(CC4CC4)c3nn2Cc5ccnc6ccc(Cl)cc56)C#N,3.96
COc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)nc(N4CCOCC4)c2F)n[nH]1,2.64
Cc1cccc(Nc2ncnc3ccccc23)c1,3.21
OCCCNCCCOc1ccc(Cl)c(c1)C(=O)NCC23CC4CC(CC(C4)C2)C3,1.41
CCOC(=O)c1ccc(OCCC2(CCN(CC2)c3ccc(C)nn3)C#N)cc1,3.54
C[C@H]1C[C@H]2[C@@H]3CC[C@H](C(=O)C)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)CCC(=O)C=C14,3.25
Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)N3CCOCC3,1.61
Cc1cc(Cl)ccc1N2CCN(CC2)C(=O)COCc3ccncc3,3.22
CC1CN(CCN1)C(=O)c2cc3ccccc3[nH]2,0.94
Clc1ccc(cc1)C2(CCNCC2)c3ccc(cc3)c4cn[nH]c4,1.51
Cc1cc(C)cc(c1)c2c(O)nc3cc(Cl)c(cc3c2OCCC4CCCCN4)C(=O)Nc5ccncn5,1.7
Clc1cccc(C(=O)NCC23CC4CC(CC(C4)C2)C3)c1Cl,4.37
CCOc1ccc(cc1)c2cnc3CCCCCn23,3.01
CNc1c(Br)cnc2[nH]c(nc12)c3ccnc(N)c3,2.83
COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4ccccn34)N5CCN(CC5)C(=O)C,3.65
FC(F)(F)c1ccc(NC(=O)N2CCN(C[C@@H]3CCCN(C3)C4CC4)CC2)cc1Cl,4.06
OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,3.5
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CC[C@H]2CC[C@H](NC(=O)c3cccc4ccccc34)[C@@H]12)C(C)(C)C,1.94
COc1cc(F)ccc1c2cccc(CNC3CCCC3)c2,2.29
COc1cc(ccc1NC(=O)CN2CCOCC2)c3cccc4C(=O)C=C(Oc34)N5CCOCC5,2.3
CCOc1cc(ccc1NC(=O)CN2CCOCC2)c3cccc4C(=O)C=C(Oc34)N5CCOCC5,2.8
C1CN2CCC1C(C2)c3ccc(cc3)c4ccccc4,1.76
Cc1cc(NC(=O)c2oc(Nc3ccccc3F)nn2)ccc1N4CCOCC4,4
Nc1ccc(cc1)S(=O)(=O)Nc2ccccn2,-0.01
Fc1ccc(CC2=NNC(=O)c3ccccc23)cc1C(=O)N4CCN(CC4)C(=O)C5CCOC5,0.8
CCNC(=O)c1cc2c(c(cnc2[nH]1)c3cnc(OC)c(c3)C4=NNC(=O)O4)n5ccc(n5)C(F)(F)F,2.32
Clc1cc(Cl)c2c3C(=O)NNC(=O)c3[nH]c2c1,1.02
CCCCC(NC(=O)CC1CCN(Cc2ccn(c2)c3ccc(cc3)C(F)(F)F)CC1)C4=CNC(=O)C=C4,2.89
Fc1cccc(Nc2oc(nn2)C(=O)Nc3ccc(nc3)N4CCOCC4)c1,3.2
CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(C)ccc3F)n2)cc1,2.1
O=C(NC1CC1)c2cc(on2)c3cccs3,2.54
CCOc1ccc(NC(=O)CCc2c(C)nc3nc(C)nn3c2C)cc1,2.1
CNc1c(Br)cnc2[nH]c(nc12)c3cccc(N)c3,2.96
Nc1nc(N)nc(n1)c2ccc(Cl)cc2,2.12
COc1cc(c2nc(cc(n2)C3(CC3)S(=O)(=O)C)N4CCOCC4)c5cc[nH]c5c1,2.4
CN(C1CCCCC1)C(=O)c2c(C)nn(c2NS(=O)(=O)c3ccc(C)cc3)c4ccccc4,1.69
CN(C)CCC[C@]1(OCc2cc(ccc12)C#N)c3ccc(F)cc3,1.48
COc1ccc(Nc2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)cc1,1.5
CC(C)S(=O)(=O)NCC(C)c1ccc(cc1)c2ccc(cc2)C#N,3.5
O=C(CSc1ccccc1)N2CCN(CC2)C(=O)c3occc3,1.6
NC1=NC2(CCN(CC2)C(=O)c3ccc(cc3)C#N)Nc4c(F)ccc(F)c14,0.86
CCN1CCCC1CNC(=O)c2cc(ccc2OC)S(=O)(=O)N,-1.2
CNC1=Nc2ccc(Cl)cc2C(=[N+]([O-])C1)c3ccccc3,2.41
CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)c2cc3ccsc3[nH]2,3.1
CC(C)C(NC(=O)CN1C(=O)C(=CN=C1c2cc(F)cc(F)c2)N)C(=O)C(F)(F)F,1.38
CC(C)N(C(C)C)c1nnc(N)s1,1.49
CS(=O)(=O)c1ccc(CC(=O)N(C2CC2)C3CCN(CCC(c4ccccc4)c5ccccc5)CC3)cc1,2.89
Nc1ccc(OCc2ccccc2)cc1,2.2
NNCCc1ccccc1,-0.01
CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)NCc4ccc(F)cc4,3.9
Nc1n[nH]c2ncc3CCCCCCc3c12,2.54
C[C@@H](NC(=O)[C@H]1CCCNC1)c2ccc(Nc3ncc4cc(ccc4n3)c5ccncc5)cc2,1.69
Cc1c(Sc2ccc(Cl)cc2)c3c(C#N)c(Cl)ccc3n1CC(=O)O,1.6
CC1(C)NC(=O)N(C1=O)c2ccc(c(c2)C(F)(F)F)[N+](=O)[O-],1.74
NS(=O)(=O)c1ccc2NC(C3CC=CC3c2c1)c4cccc5ccccc45,1.9
CC[C@H](NC(=O)c1c([S+](C)[O-])c(nc2ccccc12)c3ccccc3)c4ccccc4,3.17
Cc1ccnc(NCc2ccccc2O)c1,3.35
CC(C)c1onc(n1)N2CCN([C@H](C)C2)c3ncc(OCc4ccncc4C#N)cn3,3.3
O[C@@H](CNCCCSCCOCCc1cccc2ccccc12)c3ccc(O)c4NC(=O)Sc34,3.12
COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4ccccn34)N5CCN(CCS(=O)(=O)C)CC5,3.1
COc1ccc(cc1)c2nc(N)s[n+]2c3ccccc3,2.19
O=C1NC(=O)C(Cc2ccc3ccccc3c2)S1,2.41
Cc1ccc(cc1NC(=O)c2ccc(OCc3ccccn3)cc2)c4cn(C)cn4,2.54
O=C(CN1CCOCC1)Nc2ccc(cc2OCC3CC3)c4cccc5C(=O)C=C(Oc45)N6CCOCC6,3.3
c1ccc(cc1)c2[nH]nc3ccccc23,3.79
CC(O)(C(=O)Nc1ccc(cc1)S(=O)(=O)c2cccnc2)C(F)(F)F,2.08
CCCCC(N1NC(=O)c2nc3cc(Cl)ccc3c(O)c2C1=O)c4ccncc4,1.4
OC12CC3CC(C1)CC(C3)(C2)NCC(=O)N4CCC[C@H]4C#N,-0.48
CCOc1ccccc1N2CCN(Cc3c[nH]nc3c4ccc(F)cc4)CC2,3.38
COC(=O)Nc1nc2ccc(cc2[nH]1)C(=O)c3ccccc3,2.9
Fc1cc(ccc1C2=CCS(=O)(=O)CC2)N3C[C@H](Cn4nncc4F)OC3=O,3.54
C[C@@H]1CC[C@H](CC1)Oc2nc(N)c3ncn([C@@H]4O[C@H](C)[C@@H](O)[C@H]4O)c3n2,2.35
CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3ccnc4ccccc34)c2C(=O)N5CC[C@@H](O)C5,1.65
CC(=O)C1=Cc2ccc(O)cc2OC1=O,0.87
C[C@@](O)(C(=O)Nc1ccc(cc1Cl)S(=O)(=O)NCCN2CCOCC2)C(F)(F)F,2.14
[O-][N+](=O)c1cccc2C(=O)C(=O)c3ccccc3c12,2.6
CC(=O)N[C@@H]1CC2(CCN(Cc3ccc4[nH]c5ccccc5c4c3)CC2)c6ccccc16,2.96
CC(C)(C)C(=O)N[C@H]1CCCCNC1=O,0.58
Oc1cc(ccc1NC(=O)CN2CCOCC2)c3cccc4C(=O)C=C(Oc34)N5CCOCC5,2.4
CCCSc1c(cnn1c2ccc(cc2)C(=O)O)C(=O)NC3CCCCC3,0.64
Cc1ccc(cc1)c2c[nH]nn2,2.58
CCCCOc1nc(N)c2NC(=O)N(Cc3cccc(CC(=O)O)c3)c2n1,0.14
O=S(=O)(Nc1cccc2[nH]ncc12)c3cccs3,1.7
COc1cc(OC)c(cc1NC(=O)C)S(=O)(=O)NCc2ccccc2N3CCC(CO)CC3,1.03
COCCNCc1ccc(cc1)c2cc(C(=O)N)c(NC(=O)N)s2,0.87
C[C@H](NC(=O)c1c(C)nn(C2CCCCC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,1.97
CC(C)N1CCC[C@H](CN2C(=Nc3ccc(Oc4ccc(F)cc4)cc3C2=O)C)C1,2.4
Nc1ccc2cn[nH]c2c1,0.52
Cc1cc(n[nH]1)c2ccc(Cl)c(c2)C(=O)NCC3(O)CCCCCC3,3.41
Nc1ccc(cn1)C(=O)Nc2cccc(c2)c3nc(N4CCOCC4)c5oc6ncccc6c5n3,3.44
Fc1ccc(CNC(=O)CCS(=O)(=O)c2ccc(Br)cc2)cc1,3.1
CC1(CC(=O)NC(=N1)N)c2ccccc2,0.62
CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)c2cc3ccccc3[nH]2,3.4
C[C@H](Nc1cncc(Nc2ncc(C)s2)n1)c3ncc(F)cn3,1.91
Cc1ccc(Oc2ccc(Nc3ncnc4[nH]nc(OCCN5CCC(O)CC5)c34)cc2Cl)cn1,3.4
OC(=O)c1ccc(cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,2.31
COc1ccc(cc1N2CC(=O)NS2(=O)=O)c3ccccc3,-1.01
CCOc1ccccc1CNCc2cccc(CCNC[C@H](O)c3ccc(O)c4NC(=O)Sc34)c2,1.13
CCCCNc1cc(cc(c1Oc2ccccc2)S(=O)(=O)N)C(=O)O,-0.3
OC(=O)COc1ccc(cc1c2ccccc2c3ccccc3)C(F)(F)F,1.38
Cc1nc(cs1)C(=O)N2CCCC3(CCN(Cc4ccc(Cl)cc4)CC3)C2,0.64
COc1cc(Nc2nc3c(cc2F)ncn3[C@@H](CO)c4ccc(F)cn4)n[nH]1,2.18
CC1(CCN(CC1)C(=O)COCc2ccncc2)c3ccc(Cl)cc3,2.79
NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CO)c4ccc(Cl)cc4,2.4
CNC(=O)c1cccc(c1c2ccc(CC(C)C)cc2)S(=O)(=O)Nc3ncc(C)nc3OC,1.68
Oc1ccc(cc1)[N+](=O)[O-],1.5
CCC(CC)NC(=O)c1cnn(Cc2ccccc2)c1NS(=O)(=O)c3ccc(C)cc3,1.52
Oc1cccc2Oc3ccccc3C(=O)c12,3.8
COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)ncnc2cc1OCCCN(CCO)CC(C)C,3.61
COc1cc2c(Nc3c(Cl)ccc4OCOc34)ncnc2cc1OCCCN5CCCCC5,2.05
COc1cc2ncnc(Oc3cnn(CC(=O)Nc4ccc(cn4)N(C)C)c3)c2cc1OC,2.36
C(Cn1c2CCCCc2c3c(nc(nc13)N4CCCC4)N5CCCC5)N6CCOCC6,3.6
CC(C)(C)OC(=O)N1CCN(CC1)c2ncc(OCc3ccc(cc3)S(=O)(=O)C)nn2,2.93
CC(C)C(NC(=O)CN1C(=O)C(=CN=C1c2cccs2)N)C(=O)C(F)(F)F,0.68
Cc1ccnc2nc(nn12)C(=O)Nc3nccs3,0.31
OC(=O)[C@H](Cc1ccc(cc1)N2CCN(CC2)c3ccccc3)NC(=O)c4c(Cl)cccc4Cl,0.08
CCNC(=O)Nc1nc2cc(ccc2[nH]1)c3cccnc3,2.34
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,2.93
CN1CCCC1CCOC(C)(c2ccccc2)c3ccc(Cl)cc3,3.04
NC1=NC(CC(=O)N1)c2ccc(Cl)c(Cl)c2,1.46
Oc1c(C#N)c(nc2ccncc12)c3ccc(cc3)c4ccccc4OC(F)(F)F,3.45
NCC(O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2,2.69
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,-0.51
O[C@@H](CNCCOCCCNCCc1cccc(Cl)c1)c2ccc(O)c3NC(=O)Sc23,0.83
CN1CCC[C@@H]([C@H]1C(=O)Nc2ccc(OCc3cc(C)nc4ccccc34)cc2)C(=O)NO,2.41
COC(=O)COc1ccc(cn1)C(=O)Nc2ccc(F)cc2,2.43
CCC(N1NC(=O)c2nc3cc(Cl)ccc3c(O)c2C1=O)c4ccccn4,0.8
Cc1cccc(Nc2oc(nn2)C(=O)Nc3ccc(nc3)N4CCOCC4)c1,3.42
CCOC(=O)c1ccc(OCC2CN(C2)c3ccc(C)nn3)cc1,3.1
COc1cc(F)ccc1c2cncc(CNC3CCCCC3)c2,2.6
Oc1cccc(NC(=O)c2ccc(OCCCN3CCCC3)cc2OCc4ccccn4)c1,1.78
CC1CC(N(C(=O)C)c2ccccc2)c3ccccc3N1S(=O)(=O)c4ccccc4,3.68
OCCc1ccc(NC(=O)c2cc3cc(Cl)ccc3[nH]2)cc1,3.85
CCN(C1CCN(CCC(c2ccc(F)cc2)c3ccc(F)cc3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C,3.21
COc1cccc2[nH]ncc12,2.1
Clc1ccc2ncccc2c1C(=O)NCC3CCCCC3,2.65
CN1C(=O)C=C(CCc2ccc3ccccc3c2)N=C1N,2.7
